epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,231.239,1.66845,7.4334,1.35137,0.25582,0.43105,0.30255,0.18208,1.33297,6.42356,1.11913,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948
2,405.584,1.6139,5.65875,1.26566,0.24814,0.42933,0.27854,0.15934,1.41285,6.3147,1.15841,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209,0.0199863,0.00666209
3,601.379,1.68837,6.05788,1.31946,0.36856,0.35057,0.3067,0.17268,1.50472,5.54005,1.25677,0.0299754,0.00999181,0.0299754,0.00999181,0.0299754,0.00999181,0.0299754,0.00999181
