epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3650.35,1.62784,1.25478,1.47791,0.61658,0.63408,0.60889,0.33378,1.78225,1.45568,1.62453,0.000540037,0.000540037,0.000540037
43,3735.41,1.61865,1.26288,1.47266,0.61574,0.61087,0.59811,0.32344,1.79839,1.47245,1.65623,0.000531038,0.000531038,0.000531038
44,3820.19,1.6318,1.2498,1.47755,0.63321,0.62721,0.61595,0.32783,1.78588,1.43552,1.64013,0.000522039,0.000522039,0.000522039
45,3904.91,1.61384,1.24806,1.47343,0.64579,0.62847,0.61254,0.33138,1.78238,1.43881,1.63554,0.00051304,0.00051304,0.00051304
46,3989.54,1.61405,1.23747,1.47062,0.63796,0.61118,0.60932,0.32931,1.76725,1.4566,1.61737,0.00050404,0.00050404,0.00050404
47,4074.46,1.6194,1.23428,1.46544,0.6224,0.60854,0.61665,0.33293,1.77773,1.46925,1.62476,0.000495041,0.000495041,0.000495041
48,4159.17,1.60799,1.23669,1.46252,0.64608,0.61107,0.61395,0.33461,1.77016,1.47455,1.62664,0.000486042,0.000486042,0.000486042
49,4243.92,1.60821,1.23383,1.46753,0.62431,0.62078,0.61586,0.33186,1.7722,1.45863,1.62489,0.000477043,0.000477043,0.000477043
50,4328.62,1.61167,1.22661,1.46662,0.6157,0.61356,0.61508,0.32803,1.77173,1.42233,1.62638,0.000468044,0.000468044,0.000468044
51,4413.32,1.6024,1.22101,1.46052,0.63624,0.60001,0.61398,0.33018,1.76214,1.43547,1.61854,0.000459045,0.000459045,0.000459045
52,4498.6,1.59897,1.22087,1.45508,0.63353,0.61545,0.62051,0.33277,1.76721,1.45511,1.62883,0.000450046,0.000450046,0.000450046
53,4584.12,1.59591,1.2084,1.45492,0.68014,0.59632,0.61764,0.33476,1.7682,1.43244,1.6195,0.000441047,0.000441047,0.000441047
54,4669.03,1.59582,1.20956,1.45213,0.6505,0.60898,0.62204,0.34088,1.75642,1.4312,1.62387,0.000432048,0.000432048,0.000432048
55,4753.88,1.59035,1.20733,1.45751,0.62514,0.6123,0.61718,0.33807,1.7821,1.46218,1.64339,0.000423049,0.000423049,0.000423049
56,4838.7,1.59299,1.19903,1.45107,0.674,0.61465,0.61942,0.33584,1.77619,1.41528,1.63686,0.000414049,0.000414049,0.000414049
57,4923.75,1.58391,1.19685,1.44834,0.66638,0.61598,0.62308,0.34034,1.77617,1.43337,1.6373,0.00040505,0.00040505,0.00040505
58,5008.83,1.58304,1.19103,1.4481,0.64221,0.60972,0.62598,0.33978,1.76096,1.4498,1.61412,0.000396051,0.000396051,0.000396051
59,5093.68,1.58455,1.20215,1.44449,0.66031,0.6151,0.62392,0.34012,1.77385,1.43563,1.61886,0.000387052,0.000387052,0.000387052
60,5178.58,1.58339,1.19014,1.44295,0.67214,0.61033,0.63524,0.34665,1.77253,1.42533,1.62825,0.000378053,0.000378053,0.000378053
61,5263.45,1.58038,1.18326,1.45267,0.63865,0.6281,0.62433,0.34279,1.76399,1.42994,1.6135,0.000369054,0.000369054,0.000369054
62,5348.34,1.57621,1.18288,1.44394,0.65207,0.61626,0.62257,0.34193,1.76044,1.40663,1.62378,0.000360055,0.000360055,0.000360055
63,5434.35,1.57082,1.17585,1.43909,0.6744,0.61736,0.62795,0.33928,1.77097,1.43463,1.63171,0.000351056,0.000351056,0.000351056
64,5518.74,1.56494,1.17245,1.43598,0.62249,0.6556,0.62539,0.34287,1.76045,1.44451,1.6189,0.000342057,0.000342057,0.000342057
65,5603.48,1.56137,1.16824,1.43192,0.60418,0.64998,0.62028,0.33874,1.76178,1.43936,1.63243,0.000333058,0.000333058,0.000333058
66,5691.41,1.55965,1.16922,1.43302,0.63732,0.62203,0.62512,0.33844,1.75829,1.41915,1.63158,0.000324058,0.000324058,0.000324058
67,5779.84,1.55741,1.16481,1.43049,0.63309,0.63245,0.62413,0.33882,1.76156,1.41397,1.63737,0.000315059,0.000315059,0.000315059
68,5866.26,1.55637,1.16328,1.43123,0.66451,0.61473,0.6279,0.34009,1.77579,1.41873,1.63616,0.00030606,0.00030606,0.00030606
69,5951.6,1.5555,1.158,1.42953,0.65049,0.60871,0.6178,0.34322,1.76074,1.42587,1.62747,0.000297061,0.000297061,0.000297061
70,6035.68,1.54546,1.15715,1.41911,0.64909,0.62525,0.62154,0.3413,1.77622,1.43791,1.63661,0.000288062,0.000288062,0.000288062
71,6119.68,1.54729,1.14229,1.42246,0.65176,0.61478,0.62163,0.3409,1.77607,1.43094,1.64334,0.000279063,0.000279063,0.000279063
72,6203.6,1.5469,1.14285,1.41864,0.67039,0.61389,0.6299,0.34684,1.77137,1.41952,1.64199,0.000270064,0.000270064,0.000270064
73,6289.7,1.54373,1.14215,1.41448,0.67365,0.61591,0.62607,0.33975,1.77301,1.42366,1.63641,0.000261065,0.000261065,0.000261065
74,6374.43,1.53388,1.13871,1.41369,0.6578,0.61462,0.62624,0.33976,1.76983,1.41727,1.64062,0.000252066,0.000252066,0.000252066
75,6458.98,1.54132,1.14097,1.41598,0.65865,0.60852,0.61929,0.34078,1.77014,1.4208,1.62905,0.000243067,0.000243067,0.000243067
76,6543.48,1.53516,1.14213,1.41589,0.6476,0.61397,0.61717,0.33658,1.76618,1.45116,1.62465,0.000234068,0.000234068,0.000234068
77,6627.87,1.53223,1.12611,1.41292,0.65488,0.60843,0.61762,0.33433,1.77141,1.44085,1.6405,0.000225068,0.000225068,0.000225068
78,6712.36,1.52979,1.12817,1.4107,0.6721,0.61874,0.62446,0.34269,1.77324,1.43226,1.6398,0.000216069,0.000216069,0.000216069
79,6796.83,1.53259,1.13046,1.41094,0.66086,0.61917,0.62297,0.34034,1.75963,1.42708,1.63044,0.00020707,0.00020707,0.00020707
80,6881.24,1.52968,1.13265,1.41372,0.66374,0.62453,0.62999,0.34613,1.76318,1.42008,1.63249,0.000198071,0.000198071,0.000198071
81,6965.73,1.52998,1.1171,1.40729,0.65657,0.61988,0.62817,0.3497,1.77097,1.42053,1.63626,0.000189072,0.000189072,0.000189072
82,7050.17,1.51782,1.11666,1.40366,0.65651,0.61379,0.62523,0.34504,1.75345,1.41352,1.62205,0.000180073,0.000180073,0.000180073
83,7134.82,1.51274,1.11565,1.40632,0.67453,0.61652,0.6329,0.34967,1.75508,1.41531,1.62222,0.000171074,0.000171074,0.000171074
84,7219.25,1.52005,1.12038,1.40955,0.65228,0.63555,0.63192,0.34935,1.75886,1.42798,1.62253,0.000162075,0.000162075,0.000162075
85,7303.75,1.51467,1.10711,1.40384,0.64436,0.63499,0.62746,0.34778,1.76188,1.42756,1.6266,0.000153076,0.000153076,0.000153076
86,7388.27,1.51348,1.10243,1.40189,0.65143,0.62912,0.62683,0.34499,1.75977,1.42955,1.62509,0.000144077,0.000144077,0.000144077
87,7473.72,1.50806,1.10454,1.39883,0.64137,0.62584,0.62565,0.34586,1.75836,1.42019,1.61959,0.000135077,0.000135077,0.000135077
88,7563.05,1.50654,1.10909,1.39909,0.64853,0.62018,0.6277,0.34476,1.75685,1.42354,1.622,0.000126078,0.000126078,0.000126078
89,7647.37,1.50907,1.1095,1.39975,0.62649,0.64677,0.62799,0.34705,1.75388,1.41426,1.62369,0.000117079,0.000117079,0.000117079
90,7731.1,1.50055,1.09029,1.39711,0.63746,0.63759,0.62613,0.34805,1.75578,1.4147,1.62879,0.00010808,0.00010808,0.00010808
91,7815.51,1.53956,1.09192,1.45618,0.65281,0.61163,0.62302,0.3468,1.76053,1.42664,1.64038,9.9081e-05,9.9081e-05,9.9081e-05
92,7903.25,1.52177,1.07518,1.44585,0.64239,0.61669,0.62151,0.34334,1.75396,1.43344,1.62666,9.00819e-05,9.00819e-05,9.00819e-05
93,7993.84,1.51073,1.07155,1.44252,0.62854,0.61705,0.62,0.3402,1.74618,1.43693,1.6196,8.10828e-05,8.10828e-05,8.10828e-05
94,8077.15,1.51365,1.06802,1.44164,0.62557,0.6163,0.62194,0.34498,1.742,1.4356,1.61472,7.20837e-05,7.20837e-05,7.20837e-05
95,8160.51,1.50834,1.05952,1.44249,0.58908,0.65156,0.62395,0.3456,1.74277,1.43053,1.61658,6.30846e-05,6.30846e-05,6.30846e-05
96,8245.09,1.49643,1.05384,1.43787,0.63473,0.61315,0.62255,0.34346,1.74234,1.43965,1.61518,5.40855e-05,5.40855e-05,5.40855e-05
97,8331.03,1.50254,1.05588,1.43675,0.63687,0.6145,0.62481,0.34783,1.74423,1.43485,1.61779,4.50864e-05,4.50864e-05,4.50864e-05
98,8421.67,1.50335,1.04972,1.43416,0.61313,0.63867,0.62395,0.34609,1.74415,1.43539,1.61669,3.60873e-05,3.60873e-05,3.60873e-05
99,8511.45,1.49613,1.05045,1.42789,0.62606,0.62233,0.62265,0.34513,1.74422,1.43676,1.61593,2.70882e-05,2.70882e-05,2.70882e-05
100,8607.16,1.48998,1.05409,1.42815,0.62825,0.62342,0.62273,0.34534,1.7447,1.43784,1.61536,1.80891e-05,1.80891e-05,1.80891e-05
