epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
129,21637.7,1.17978,2.57185,1.05988,0.75767,0.75934,0.74927,0.52743,0.95362,2.6065,0.94759,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227
130,21801.7,1.17768,2.56944,1.05892,0.75814,0.75998,0.75092,0.52982,0.95366,2.61501,0.94778,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
131,21966,1.16621,2.55283,1.0555,0.7584,0.76001,0.75101,0.53173,0.95269,2.61932,0.94768,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
132,22130.1,1.17325,2.54294,1.05812,0.75669,0.76011,0.75154,0.5326,0.9518,2.61509,0.94748,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777
133,22294.2,1.18028,2.55558,1.06106,0.75774,0.76079,0.75138,0.53253,0.95195,2.6199,0.9476,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
134,22459.7,1.16045,2.4939,1.05165,0.75905,0.76079,0.75161,0.53323,0.95026,2.62941,0.94726,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454
135,22627.4,1.16565,2.52035,1.05475,0.76239,0.76021,0.7527,0.53397,0.94978,2.63162,0.94726,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337
136,22794.9,1.16867,2.52292,1.05688,0.76162,0.76041,0.75268,0.5336,0.94897,2.62891,0.94675,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
137,22960.8,1.16532,2.50074,1.05936,0.7625,0.75943,0.75294,0.53572,0.94868,2.63164,0.94707,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268
138,23123.7,1.15338,2.49366,1.05361,0.76528,0.7589,0.75281,0.53521,0.94876,2.62817,0.94706,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345
139,23286.7,1.16733,2.53453,1.05703,0.76519,0.75828,0.75299,0.53383,0.94857,2.62576,0.94699,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
140,23449.5,1.15501,2.50447,1.05119,0.76079,0.75801,0.75287,0.53124,0.94858,2.62898,0.94703,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784
141,23612.2,1.12759,2.18659,1.05583,0.76203,0.75836,0.75211,0.53152,0.94889,2.63606,0.94742,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
142,23774.3,1.1178,2.12904,1.04242,0.76188,0.75768,0.75206,0.53147,0.95016,2.63813,0.94809,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
143,23936.6,1.1144,2.15304,1.04473,0.75941,0.75726,0.75218,0.53103,0.95134,2.64046,0.94881,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932
144,24098.7,1.11655,2.13538,1.05073,0.75875,0.75598,0.75176,0.5312,0.9515,2.64451,0.94926,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102
145,24260.9,1.1009,2.12418,1.03633,0.7613,0.75611,0.75075,0.5296,0.95288,2.65003,0.94994,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
146,24426.1,1.09939,2.08959,1.03797,0.76029,0.75489,0.75079,0.52923,0.95366,2.6525,0.95043,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
147,24593.3,1.1008,2.10595,1.03732,0.75988,0.75474,0.75086,0.5289,0.95446,2.6554,0.95085,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736
148,24759.6,1.11012,2.09828,1.04134,0.75992,0.75463,0.75247,0.53126,0.95535,2.65932,0.9513,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
149,24928.8,1.09945,2.0754,1.04056,0.75933,0.75358,0.75206,0.53119,0.95548,2.66087,0.95128,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342
150,25099.3,1.10041,2.09725,1.03788,0.75711,0.75332,0.75188,0.53075,0.95575,2.6646,0.95164,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086
